Timestamp,Open,High,Low,Close,Volume,SMA_10,SMA_50,SMA_100,EMA_10,EMA_50,EMA_100,RSI_10,RSI_50,RSI_100,VWAP,MACD,MACD_Hist,MACD_Signal
2022-01-03 04:00:00,176.0230,176.0480,175.9460,175.9780,863,175.8497,175.7228,175.8421,175.8497,175.7228,175.8421,43.4494,48.7440,51.9775,175.9907,-0.0709,0.0206,-0.0915
2022-01-03 04:02:00,176.0930,176.1270,176.0450,176.0770,881,175.8497,175.7228,175.8421,175.8497,175.7228,175.8421,43.4494,48.7440,51.9775,176.0373,-0.0709,0.0206,-0.0915
2022-01-03 04:03:00,176.0430,176.0870,176.0160,176.0670,482,175.8497,175.7228,175.8421,175.8497,175.7228,175.8421,43.4494,48.7440,51.9775,176.0415,-0.0709,0.0206,-0.0915
2022-01-03 04:04:00,175.9940,176.0180,175.8870,175.9190,2545,175.8497,175.7228,175.8421,175.8497,175.7228,175.8421,43.4494,48.7440,51.9775,175.9881,-0.0709,0.0206,-0.0915
2022-01-03 04:05:00,175.9640,175.9880,175.9370,175.9680,147,175.8497,175.7228,175.8421,175.8497,175.7228,175.8421,43.4494,48.7440,51.9775,175.9874,-0.0709,0.0206,-0.0915
2022-01-03 04:06:00,175.7770,175.8010,175.7290,175.7610,365,175.8497,175.7228,175.8421,175.8497,175.7228,175.8421,43.4494,48.7440,51.9775,175.9719,-0.0709,0.0206,-0.0915
2022-01-03 04:07:00,175.7670,175.7910,175.5020,175.5330,1120,175.8497,175.7228,175.8421,175.8497,175.7228,175.8421,43.4494,48.7440,51.9775,175.9084,-0.0709,0.0206,-0.0915
2022-01-03 04:08:00,175.6680,175.7810,175.6400,175.7610,292,175.8497,175.7228,175.8421,175.8497,175.7228,175.8421,43.4494,48.7440,51.9775,175.9005,-0.0709,0.0206,-0.0915
2022-01-03 04:09:00,175.7670,175.7910,175.7290,175.7610,598,175.8497,175.7228,175.8421,175.8497,175.7228,175.8421,43.4494,48.7440,51.9775,175.8890,-0.0709,0.0206,-0.0915
2022-01-03 04:10:00,175.6980,175.7220,175.6400,175.6720,2233,175.8497,175.7228,175.8421,175.8497,175.7228,175.8421,43.4494,48.7440,51.9775,175.8395,-0.0709,0.0206,-0.0915
2022-01-03 04:12:00,175.8160,175.8400,175.7890,175.8200,100,175.8339,175.7228,175.8421,175.8443,175.7228,175.8421,43.4494,48.7440,51.9775,175.8393,-0.0709,0.0206,-0.0915
2022-01-03 04:13:00,175.8460,175.8700,175.8180,175.8490,100,175.8111,175.7228,175.8421,175.8452,175.7228,175.8421,44.9210,48.7440,51.9775,175.8393,-0.0709,0.0206,-0.0915
2022-01-03 04:14:00,175.8460,175.8700,175.8180,175.8490,150,175.7893,175.7228,175.8421,175.8459,175.7228,175.8421,44.9210,48.7440,51.9775,175.8394,-0.0709,0.0206,-0.0915
2022-01-03 04:15:00,175.8460,175.9090,175.7390,175.8890,3944,175.7863,175.7228,175.8421,175.8537,175.7228,175.8421,47.2582,48.7440,51.9775,175.8412,-0.0709,0.0206,-0.0915
2022-01-03 04:16:00,175.8560,175.8800,175.7490,175.7800,963,175.7675,175.7228,175.8421,175.8403,175.7228,175.8421,41.8778,48.7440,51.9775,175.8387,-0.0709,0.0206,-0.0915
2022-01-03 04:17:00,175.7770,175.8010,175.6110,175.6420,345,175.7556,175.7228,175.8421,175.8042,175.7228,175.8421,36.0967,48.7440,51.9775,175.8352,-0.0709,0.0206,-0.0915
2022-01-03 04:18:00,175.5990,175.7020,175.5520,175.6320,755,175.7655,175.7228,175.8421,175.7729,175.7228,175.8421,35.6999,48.7440,51.9775,175.8254,-0.0709,0.0206,-0.0915
2022-01-03 04:22:00,175.7860,175.8110,175.7590,175.7900,265,175.7684,175.7228,175.8421,175.7760,175.7228,175.8421,46.1014,48.7440,51.9775,175.8248,-0.0709,0.0206,-0.0915
2022-01-03 04:24:00,175.7670,175.7910,175.7390,175.7700,296,175.7693,175.7228,175.8421,175.7749,175.7228,175.8421,45.0759,48.7440,51.9775,175.8237,-0.0709,0.0206,-0.0915
2022-01-03 04:25:00,175.6680,175.6920,175.6400,175.6720,245,175.7693,175.7228,175.8421,175.7562,175.7228,175.8421,40.2063,48.7440,51.9775,175.8214,-0.0709,0.0206,-0.0915
2022-01-03 04:27:00,175.6880,175.7120,175.6110,175.6420,1241,175.7515,175.7228,175.8421,175.7355,175.7228,175.8421,38.7813,48.7440,51.9775,175.8099,-0.0709,0.0206,-0.0915
2022-01-03 04:28:00,175.6380,175.6630,175.5910,175.6320,651,175.7298,175.7228,175.8421,175.7166,175.7228,175.8421,38.2788,48.7440,51.9775,175.8036,-0.0709,0.0206,-0.0915
